Game Date,Game Time,Elapsed Time,Reason,Score,Accuracy,Asteroids Hit
2024-07-03,08:27:51,68.96,Spacecraft Health 0,3292,0.34,35
2024-07-03,08:29:00,48.94,Spacecraft Health 0,3448,0.47,36
2024-07-03,08:29:49,48.72,Spacecraft Health 0,3652,0.51,38
2024-07-03,08:30:38,41.55,Spacecraft Health 0,2970,0.48,31
2024-07-03,08:31:20,72.22,Spacecraft Health 0,3784,0.37,40
2024-07-03,08:32:32,85.13,Spacecraft Fuel 0,4948,0.41,52
2024-07-03,08:33:57,57.18,Spacecraft Health 0,3830,0.47,40
2024-07-03,08:34:54,60.73,Spacecraft Health 0,5018,0.57,52
2024-07-03,08:35:55,47.82,Spacecraft Health 0,3052,0.43,32
2024-07-03,08:36:43,43.79,Spacecraft Health 0,3166,0.49,33
2024-07-03,08:37:27,61.49,Spacecraft Health 0,3716,0.42,39
2024-07-03,08:38:28,61.82,Spacecraft Fuel 0,4710,0.52,49
2024-07-03,08:39:30,66.84,Spacecraft Health 0,4102,0.43,43
2024-07-03,08:40:37,49.24,Spacecraft Health 0,2954,0.42,31
2024-07-03,08:41:26,40.08,Spacecraft Health 0,2778,0.48,29
2024-07-03,08:42:06,61.75,Spacecraft Health 0,3614,0.41,38
2024-07-03,08:43:08,56.77,Spacecraft Health 0,3132,0.39,33
2024-07-03,08:44:05,76.9,Spacecraft Health 0,4276,0.4,45
2024-07-03,08:45:22,71.84,Spacecraft Fuel 0,4188,0.42,44
2024-07-03,08:46:33,68.42,Spacecraft Fuel 0,3696,0.38,39
2024-07-03,08:47:42,51.66,Spacecraft Health 0,2842,0.38,30
2024-07-03,08:48:34,52.95,Spacecraft Health 0,3540,0.46,37
2024-07-03,08:49:26,63.71,Spacecraft Health 0,3708,0.41,39
2024-07-03,08:50:30,53.12,Spacecraft Health 0,3338,0.43,35
2024-07-03,08:51:23,65.33,Spacecraft Health 0,4204,0.45,44
2024-07-03,08:52:29,44.72,Spacecraft Health 0,2368,0.38,25
2024-07-03,08:53:13,66.81,Spacecraft Fuel 0,3696,0.38,39
2024-07-03,08:54:20,38.61,Spacecraft Health 0,2782,0.49,29
2024-07-03,08:54:59,37.65,Spacecraft Health 0,2586,0.47,27
2024-07-03,08:55:37,40.35,Spacecraft Health 0,3974,0.65,41
2024-07-03,08:56:17,63.2,Spacecraft Fuel 0,4908,0.53,51
2024-07-03,08:57:20,47.31,Spacecraft Health 0,3458,0.51,36
2024-07-03,08:58:07,60.62,Spacecraft Health 0,3318,0.38,35
2024-07-03,08:59:08,46.17,Spacecraft Health 0,2864,0.44,30
2024-07-03,08:59:54,50.51,Spacecraft Health 0,4252,0.59,44
2024-07-03,09:00:45,69.69,Spacecraft Health 0,3296,0.34,35
2024-07-03,09:01:54,40.66,Spacecraft Health 0,3176,0.53,33
2024-07-03,09:02:35,58.28,Spacecraft Health 0,4332,0.54,45
2024-07-03,09:03:33,61.18,Spacecraft Health 0,3322,0.39,35
2024-07-03,09:04:35,63.17,Spacecraft Health 0,3508,0.39,37
2024-07-03,09:05:38,47.94,Spacecraft Health 0,2964,0.46,31
2024-07-03,09:06:26,62.77,Spacecraft Health 0,3418,0.4,36
2024-07-03,09:07:28,54.08,Spacecraft Health 0,2842,0.38,30
2024-07-03,09:08:23,49.38,Spacecraft Health 0,2756,0.4,29
2024-07-03,09:09:12,58.47,Spacecraft Health 0,3828,0.47,40
2024-07-03,09:10:10,61.98,Spacecraft Health 0,3120,0.37,33
2024-07-03,09:11:12,1132.44,Spacecraft Health 0,2746,0.38,29
2024-07-03,09:30:05,203.05,Spacecraft Health 0,3664,0.56,38
2024-07-03,09:33:28,65.03,Spacecraft Health 0,4108,0.45,43
2024-07-03,09:34:33,49.32,Spacecraft Health 0,2860,0.43,30
2024-07-03,09:35:22,48.35,Spacecraft Health 0,3062,0.46,32
2024-07-03,09:36:11,69.08,Spacecraft Health 0,3798,0.4,40
2024-07-03,09:37:20,69.55,Spacecraft Health 0,3506,0.38,37
2024-07-03,09:38:29,48.39,Spacecraft Health 0,3358,0.49,35
2024-07-03,09:39:18,58.75,Spacecraft Health 0,3430,0.42,36
2024-07-03,09:40:17,48.83,Spacecraft Health 0,3062,0.46,32
2024-07-03,09:41:05,64.63,Spacecraft Health 0,2722,0.33,29
